house_id,dwelling,dwelling_grade,household_m2,size_grade,bedrooms,years,old,heating_source,area_code,occupants,children,teenagers,adults,elders,ainc,adec,agauge,fulltimers,parttimers,grads,postgrads,education_index,income,recycling,energy_class,thermostats,water_heater,smart_plugs,awareness,start,end,days,kwhs,kwh/day,kwh/day/m2,hdd,cdd
38,Appartment,0.0,58,0.0,1.0,6 - 15,0.33,No,54636,2,0,0,2,0,1.8,1.5,2.0,2,0,2,2,1.0,"20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Sometimes,2021-06-17,2021-10-19,124,263.0,2.120967742,0.03656840934,26.442,510.792
39,Appartment,0.0,84,0.4,2.0,30+,1.0,No,54636,2,0,0,2,0,1.8,1.5,2.0,2,0,2,2,1.0,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-09-14,2022-01-17,125,478.0,3.824,0.04552380952,549.289,28.087
40,Appartment,0.0,66,0.2,2.0,0 - 5,0.0,No,54636,2,0,0,2,0,1.8,1.5,2.0,0,0,0,0,0.8333333333,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-10-02,2022-01-02,92,697.0,7.576086957,0.1147891963,393.031,0.012
41,Appartment,0.0,35,0.0,2.0,0 - 5,0.0,Yes,54636,6,0,0,5,1,5.5,4.25,5.75,3,2,3,0,0.8888888889,"0 - 10,000€",Rarely,Sometimes,Often or Always,No,Rarely,Rarely,2021-09-23,2022-01-22,121,323.0,2.669421488,0.07626918536,599.031,5.642
42,Appartment,0.0,54,0.0,1.0,6 - 15,0.33,Yes,54636,1,0,0,1,0,0.9,0.75,1.0,0,0,0,0,0.8333333333,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,2021-09-20,2022-01-19,121,621.0,5.132231405,0.09504132231,571.704,11.929
42,Appartment,0.0,54,0.0,1.0,6 - 15,0.33,Yes,54636,1,0,0,1,0,0.9,0.75,1.0,0,0,0,0,0.8333333333,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,2021-05-20,2021-09-19,122,261.0,2.139344262,0.03961748634,2.587,530.908
43,Appartment,0.0,75,0.2,2.0,16 - 30,0.66,Yes,54636,2,0,0,2,0,1.8,1.5,2.0,0,0,0,0,0.8333333333,"20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Sometimes,2021-12-10,2022-02-11,63,4245.0,67.38095238,0.8984126984,530.535,0.0
44,Appartment,0.0,56,0.0,2.0,16 - 30,0.66,No,54639,2,0,0,2,0,1.8,1.5,2.0,0,0,1,0,0.8888888889,"0 - 10,000€",Often or Always,Sometimes,Rarely,No,Sometimes,Rarely,2021-11-04,2022-03-02,118,597.0,5.059322034,0.09034503632,757.375,0.0
44,Appartment,0.0,56,0.0,2.0,16 - 30,0.66,No,54639,2,0,0,2,0,1.8,1.5,2.0,0,0,1,0,0.8888888889,"0 - 10,000€",Often or Always,Sometimes,Rarely,No,Sometimes,Rarely,2021-07-02,2021-11-03,124,342.0,2.758064516,0.04925115207,40.079,441.429
45,Appartment,0.0,105,0.6,3.0,6 - 15,0.33,No,54639,4,0,1,1,0,1.65,1.65,1.75,2,0,1,1,1.0,"20,001€ - 40,000€",Sometimes,Often or Always,Sometimes,No,Rarely,Sometimes,2021-11-26,2022-01-13,48,429.0,8.9375,0.08511904762,353.964,0.0
45,Appartment,0.0,105,0.6,3.0,6 - 15,0.33,No,54639,4,0,1,1,0,1.65,1.65,1.75,2,0,1,1,1.0,"20,001€ - 40,000€",Sometimes,Often or Always,Sometimes,No,Rarely,Sometimes,2021-11-26,2022-01-13,48,429.0,8.9375,0.08511904762,353.964,0.0
46,Appartment,0.0,90,0.4,2.0,30+,1.0,No,54639,2,0,0,2,0,1.8,1.5,2.0,1,0,2,0,0.9444444444,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-09-10,2022-01-12,124,660.0,5.322580645,0.05913978495,435.415,33.904
